Date;ICCO_USD
02/12/2019;2,476.00
29/11/2019;2,500.50
28/11/2019;2,516.83
27/11/2019;2,521.01
26/11/2019;2,567.59
25/11/2019;2,531.07
22/11/2019;2,535.20
21/11/2019;2,555.33
20/11/2019;2,551.05
19/11/2019;2,567.45
18/11/2019;2,575.82
15/11/2019;2,583.85
14/11/2019;2,625.43
13/11/2019;2,609.49
12/11/2019;2,572.74
11/11/2019;2,472.53
08/11/2019;2,458.20
07/11/2019;2,407.93
06/11/2019;2,422.62
05/11/2019;2,445.14
04/11/2019;2,449.22
01/11/2019;2,443.93
31/10/2019;2,402.66
30/10/2019;2,442.93
29/10/2019;2,464.42
28/10/2019;2,455.98
25/10/2019;2,437.85
24/10/2019;2,453.23
23/10/2019;2,441.52
22/10/2019;2,435.52
21/10/2019;2,451.24
18/10/2019;2,457.33
17/10/2019;2,463.79
16/10/2019;2,478.10
15/10/2019;2,477.90
14/10/2019;2,415.90
11/10/2019;2,463.70
10/10/2019;2,417.88
09/10/2019;2,367.17
08/10/2019;2,397.90
07/10/2019;2,388.28
04/10/2019;2,428.34
03/10/2019;2,460.91
02/10/2019;2,419.08
01/10/2019;2,389.62
30/09/2019;2,393.12
27/09/2019;2,414.45
26/09/2019;2,430.22
25/09/2019;2,409.35
24/09/2019;2,382.75
23/09/2019;2,392.23
20/09/2019;2,401.76
19/09/2019;2,394.68
18/09/2019;2,344.45
17/09/2019;2,332.88
16/09/2019;2,308.10
13/09/2019;2,272.47
12/09/2019;2,250.38
11/09/2019;2,239.67
10/09/2019;2,227.07
09/09/2019;2,238.41
06/09/2019;2,215.32
05/09/2019;2,190.31
04/09/2019;2,211.91
03/09/2019;2,181.62
02/09/2019;2,161.33
30/08/2019;2,164.76
29/08/2019;2,140.45
28/08/2019;2,190.36
27/08/2019;2,196.41
26/08/2019;2,186.64
23/08/2019;2,185.27
22/08/2019;2,184.28
21/08/2019;2,165.26
20/08/2019;2,139.90
19/08/2019;2,161.43
16/08/2019;2,163.13
15/08/2019;2,167.79
14/08/2019;2,144.59
13/08/2019;2,147.39
12/08/2019;2,189.75
09/08/2019;2,194.12
08/08/2019;2,198.79
07/08/2019;2,217.93
06/08/2019;2,243.63
05/08/2019;2,282.89
02/08/2019;2,302.18
01/08/2019;2,316.39
31/07/2019;2,330.52
30/07/2019;2,350.99
29/07/2019;2,360.00
26/07/2019;2,373.29
25/07/2019;2,414.44
24/07/2019;2,426.62
23/07/2019;2,432.03
22/07/2019;2,461.48
19/07/2019;2,419.56
18/07/2019;2,400.33
17/07/2019;2,389.51
16/07/2019;2,391.96
15/07/2019;2,390.98
12/07/2019;2,459.66
11/07/2019;2,448.06
10/07/2019;2,461.60
09/07/2019;2,471.44
08/07/2019;2,511.62
05/07/2019;2,411.15
04/07/2019;2,417.33
03/07/2019;2,391.80
02/07/2019;2,423.93
01/07/2019;2,441.91
28/06/2019;2,391.52
27/06/2019;2,412.82
26/06/2019;2,420.55
25/06/2019;2,421.16
24/06/2019;2,433.89
21/06/2019;2,443.49
20/06/2019;2,397.83
19/06/2019;2,445.82
18/06/2019;2,424.31
17/06/2019;2,414.59
14/06/2019;2,423.38
13/06/2019;2,441.44
12/06/2019;2,471.06
11/06/2019;2,453.17
10/06/2019;2,436.08
07/06/2019;2,394.07
06/06/2019;2,364.38
05/06/2019;2,348.25
04/06/2019;2,319.34
03/06/2019;2,297.45
31/05/2019;2,341.47
30/05/2019;2,364.44
29/05/2019;2,360.81
28/05/2019;2,367.95
24/05/2019;2,374.88
23/05/2019;2,347.56
22/05/2019;2,335.29
21/05/2019;2,356.78
20/05/2019;2,311.45
17/05/2019;2,283.88
16/05/2019;2,304.94
15/05/2019;2,260.23
14/05/2019;2,241.38
13/05/2019;2,253.01
10/05/2019;2,273.48
09/05/2019;2,288.84
08/05/2019;2,275.90
07/05/2019;2,282.08
06/05/2019;2,313.81
03/05/2019;2,337.88
02/05/2019;2,344.19
01/05/2019;2,311.43
30/04/2019;2,339.12
29/04/2019;2,343.03
26/04/2019;2,302.57
25/04/2019;2,262.06
24/04/2019;2,234.73
23/04/2019;2,273.82
22/04/2019;2,308.08
18/04/2019;2,339.01
17/04/2019;2,360.86
16/04/2019;2,311.01
15/04/2019;2,344.71
12/04/2019;2,383.61
11/04/2019;2,351.36
10/04/2019;2,384.36
09/04/2019;2,373.43
08/04/2019;2,364.16
05/04/2019;2,362.78
