Data,Valor
30.11.2019,2.148
29.11.2019,2.568
27.11.2019,2.597
26.11.2019,2.656
25.11.2019,2.598
22.11.2019,2.617
21.11.2019,2.642
20.11.2019,2.628
19.11.2019,2.653
18.11.2019,2.664
15.11.2019,2.681
14.11.2019,2.669
13.11.2019,2.655
12.11.2019,2.620
11.11.2019,2.514
08.11.2019,2.498
07.11.2019,2.450
06.11.2019,2.472
05.11.2019,2.500
04.11.2019,2.506
01.11.2019,2.501
31.10.2019,2.446
30.10.2019,2.496
29.10.2019,2.524
28.10.2019,2.504
25.10.2019,2.483
24.10.2019,2.501
23.10.2019,2.495
22.10.2019,2.484
21.10.2019,2.506
18.10.2019,2.513
17.10.2019,2.511
16.10.2019,2.534
15.10.2019,2.542
14.10.2019,2.470
11.10.2019,2.523
10.10.2019,2.477
09.10.2019,2.426
08.10.2019,2.468
07.10.2019,2.444
04.10.2019,2.491
03.10.2019,2.532
02.10.2019,2.495
01.10.2019,2.462
30.09.2019,2.456
27.09.2019,2.491
26.09.2019,2.507
25.09.2019,2.480
24.09.2019,2.453
23.09.2019,2.467
20.09.2019,2.479
19.09.2019,2.475
18.09.2019,2.409
17.09.2019,2.397
16.09.2019,2.377
13.09.2019,2.337
12.09.2019,2.319
11.09.2019,2.304
10.09.2019,2.287
09.09.2019,2.304
06.09.2019,2.277
05.09.2019,2.245
04.09.2019,2.269
03.09.2019,2.245
30.08.2019,2.222
29.08.2019,2.185
28.08.2019,2.243
27.08.2019,2.247
26.08.2019,2.238
23.08.2019,2.238
22.08.2019,2.230
21.08.2019,2.207
20.08.2019,2.174
19.08.2019,2.191
16.08.2019,2.187
15.08.2019,2.198
14.08.2019,2.204
13.08.2019,2.206
12.08.2019,2.245
09.08.2019,2.242
08.08.2019,2.254
07.08.2019,2.266
06.08.2019,2.303
05.08.2019,2.346
02.08.2019,2.361
01.08.2019,2.377
31.07.2019,2.400
30.07.2019,2.427
29.07.2019,2.434
26.07.2019,2.445
25.07.2019,2.488
24.07.2019,2.512
23.07.2019,2.519
22.07.2019,2.561
19.07.2019,2.499
18.07.2019,2.473
17.07.2019,2.458
16.07.2019,2.429
15.07.2019,2.420
12.07.2019,2.503
11.07.2019,2.491
10.07.2019,2.509
09.07.2019,2.522
08.07.2019,2.577
05.07.2019,2.463
03.07.2019,2.433
02.07.2019,2.472
01.07.2019,2.501
28.06.2019,2.425
27.06.2019,2.453
26.06.2019,2.461
25.06.2019,2.464
24.06.2019,2.487
21.06.2019,2.502
20.06.2019,2.446
19.06.2019,2.513
18.06.2019,2.500
17.06.2019,2.479
14.06.2019,2.496
13.06.2019,2.510
12.06.2019,2.541
11.06.2019,2.504
10.06.2019,2.503
07.06.2019,2.466
06.06.2019,2.432
05.06.2019,2.405
04.06.2019,2.372
03.06.2019,2.357
31.05.2019,2.406
30.05.2019,2.434
29.05.2019,2.445
28.05.2019,2.456
24.05.2019,2.462
23.05.2019,2.428
22.05.2019,2.414
21.05.2019,2.437
20.05.2019,2.383
17.05.2019,2.354
16.05.2019,2.364
15.05.2019,2.321
14.05.2019,2.293
13.05.2019,2.287
10.05.2019,2.312
09.05.2019,2.336
08.05.2019,2.305
07.05.2019,2.301
06.05.2019,2.340
03.05.2019,2.379
02.05.2019,2.374
01.05.2019,2.315
30.04.2019,2.359
29.04.2019,2.383
26.04.2019,2.335
25.04.2019,2.285
24.04.2019,2.248
23.04.2019,2.292
22.04.2019,2.342
18.04.2019,2.372
17.04.2019,2.403
16.04.2019,2.346
15.04.2019,2.396
12.04.2019,2.407
11.04.2019,2.378
10.04.2019,2.423
09.04.2019,2.418
08.04.2019,2.412
05.04.2019,2.410
04.04.2019,2.400
03.04.2019,2.375
02.04.2019,2.350
01.04.2019,2.311
29.03.2019,2.270
28.03.2019,2.254
27.03.2019,2.246
26.03.2019,2.235
25.03.2019,2.219
22.03.2019,2.170
21.03.2019,2.146
20.03.2019,2.159
19.03.2019,2.215
18.03.2019,2.211
15.03.2019,2.212
14.03.2019,2.214
13.03.2019,2.216
12.03.2019,2.217
11.03.2019,2.202
08.03.2019,2.198
07.03.2019,2.182
06.03.2019,2.245
05.03.2019,2.157
04.03.2019,2.156
01.03.2019,2.217
28.02.2019,2.247
27.02.2019,2.313
26.02.2019,2.276
25.02.2019,2.256
22.02.2019,2.288
21.02.2019,2.275
20.02.2019,2.317
19.02.2019,2.350
15.02.2019,2.339
14.02.2019,2.270
13.02.2019,2.287
12.02.2019,2.270
11.02.2019,2.265
08.02.2019,2.235
07.02.2019,2.254
06.02.2019,2.280
05.02.2019,2.250
04.02.2019,2.263
01.02.2019,2.209
31.01.2019,2.209
30.01.2019,2.213
29.01.2019,2.251
28.01.2019,2.284
25.01.2019,2.264
24.01.2019,2.289
23.01.2019,2.279
22.01.2019,2.281
18.01.2019,2.340
17.01.2019,2.369
16.01.2019,2.355
15.01.2019,2.310
14.01.2019,2.375
11.01.2019,2.388
10.01.2019,2.407
09.01.2019,2.395
08.01.2019,2.425
07.01.2019,2.447
04.01.2019,2.398
03.01.2019,2.435
02.01.2019,2.426
31.12.2018,2.449
28.12.2018,2.437
27.12.2018,2.402
26.12.2018,2.454
24.12.2018,2.337
21.12.2018,2.290
20.12.2018,2.289
19.12.2018,2.327
18.12.2018,2.286
17.12.2018,2.245
14.12.2018,2.245
